,item_name,source,count
87,Carnitas Soft Tacos,Fresh Tomato Salsa (Mild),4
88,Carnitas Soft Tacos,Roasted Chili Corn Salsa,12
89,Carnitas Soft Tacos,Roasted Chili Corn Salsa (Medium),1
90,Carnitas Soft Tacos,Tomatillo Green Chili Salsa,3
91,Carnitas Soft Tacos,Tomatillo Red Chili Salsa,11
92,Carnitas Soft Tacos,TomatilloRed Chili Salsa (Hot),1
93,Chicken Bowl,Fresh Tomato (Mild),4
94,Chicken Bowl,Fresh Tomato Salsa,324
95,Chicken Bowl,Fresh Tomato Salsa (Mild),70
96,Chicken Bowl,Roasted Chili Corn Salsa,106
97,Chicken Bowl,Roasted Chili Corn Salsa (Medium),41
98,Chicken Bowl,Tomatillo Green Chili Salsa,65
99,Chicken Bowl,Tomatillo Red Chili Salsa,61
100,Chicken Bowl,TomatilloGreen Chili Salsa (Medium),13
101,Chicken Bowl,TomatilloRed Chili Salsa (Hot),40
102,Chicken Bowl,White Rice,2
103,Chicken Burrito,Fresh Tomato (Mild),6
104,Chicken Burrito,Fresh Tomato Salsa,208
105,Chicken Burrito,Fresh Tomato Salsa (Mild),55
106,Chicken Burrito,Lettuce,3
107,Chicken Burrito,Rice,3
108,Chicken Burrito,Roasted Chili Corn (Medium),1
109,Chicken Burrito,Roasted Chili Corn Salsa,67
110,Chicken Burrito,Roasted Chili Corn Salsa (Medium),33
111,Chicken Burrito,Tomatillo Green Chili (Medium),1
112,Chicken Burrito,Tomatillo Green Chili Salsa,40
113,Chicken Burrito,Tomatillo Red Chili (Hot),1
114,Chicken Burrito,Tomatillo Red Chili Salsa,72
115,Chicken Burrito,TomatilloGreen Chili Salsa (Medium),29
116,Chicken Burrito,TomatilloRed Chili Salsa (Hot),34
117,Chicken Crispy Tacos,Fresh Tomato Salsa,15
118,Chicken Crispy Tacos,Fresh Tomato Salsa (Mild),6
119,Chicken Crispy Tacos,Roasted Chili Corn Salsa,12
120,Chicken Crispy Tacos,Roasted Chili Corn Salsa (Medium),3
121,Chicken Crispy Tacos,Tomatillo Green Chili Salsa,1
122,Chicken Crispy Tacos,Tomatillo Red Chili Salsa,9
123,Chicken Crispy Tacos,TomatilloGreen Chili Salsa (Medium),1
124,Chicken Salad,Fresh Tomato Salsa (Mild),6
125,Chicken Salad,Roasted Chili Corn (Medium),1
126,Chicken Salad,Roasted Chili Corn Salsa (Medium),1
127,Chicken Salad,TomatilloGreen Chili Salsa (Medium),1
128,Chicken Salad Bowl,Fresh Tomato Salsa,71
129,Chicken Salad Bowl,Roasted Chili Corn Salsa,21
130,Chicken Salad Bowl,Tomatillo Green Chili Salsa,12
131,Chicken Salad Bowl,Tomatillo Red Chili Salsa,6
132,Chicken Soft Tacos,Fresh Tomato Salsa,36
133,Chicken Soft Tacos,Fresh Tomato Salsa (Mild),17
134,Chicken Soft Tacos,Roasted Chili Corn Salsa,29
135,Chicken Soft Tacos,Roasted Chili Corn Salsa (Medium),3
136,Chicken Soft Tacos,Tomatillo Green Chili Salsa,4
137,Chicken Soft Tacos,Tomatillo Red Chili Salsa,13
138,Chicken Soft Tacos,TomatilloGreen Chili Salsa (Medium),3
139,Chicken Soft Tacos,TomatilloRed Chili Salsa (Hot),10
140,Chips,origin,211
141,Chips and Fresh Tomato Salsa,origin,110
142,Chips and Guacamole,origin,479
143,Chips and Mild Fresh Tomato Salsa,origin,1
144,Chips and Roasted Chili Corn Salsa,origin,22
145,Chips and Roasted Chili-Corn Salsa,origin,18
146,Chips and Tomatillo Green Chili Salsa,origin,43
147,Chips and Tomatillo Red Chili Salsa,origin,48
148,Chips and Tomatillo-Green Chili Salsa,origin,31
149,Chips and Tomatillo-Red Chili Salsa,origin,20
150,Crispy Tacos,AdoboMarinated and Grilled Chicken,1
151,Crispy Tacos,AdoboMarinated and Grilled Steak,1
152,Izze,Blackberry,8
153,Izze,Clementine,8
154,Izze,Grapefruit,4
155,Nantucket Nectar,Apple,6
156,Nantucket Nectar,Peach Orange,8
157,Nantucket Nectar,Pineapple Orange Banana,8
158,Nantucket Nectar,Pomegranate Cherry,5
159,Salad,Brown Rice,1
160,Salad,White Rice,1
161,Side of Chips,origin,101
162,Steak Bowl,Fresh Tomato (Mild),4
163,Steak Bowl,Fresh Tomato Salsa,69
164,Steak Bowl,Fresh Tomato Salsa (Mild),22
165,Steak Bowl,Rice,1
166,Steak Bowl,Roasted Chili Corn Salsa,41
167,Steak Bowl,Roasted Chili Corn Salsa (Medium),19
168,Steak Bowl,Tomatillo Green Chili (Medium),1
169,Steak Bowl,Tomatillo Green Chili Salsa,18
170,Steak Bowl,Tomatillo Red Chili Salsa,22
171,Steak Bowl,TomatilloGreen Chili Salsa (Medium),3
172,Steak Bowl,TomatilloRed Chili Salsa (Hot),11
173,Steak Burrito,Brown Rice,1
174,Steak Burrito,Fresh Tomato (Mild),6
175,Steak Burrito,Fresh Tomato Salsa,94
176,Steak Burrito,Fresh Tomato Salsa (Mild),54
177,Steak Burrito,Lettuce,4
178,Steak Burrito,Rice,1
179,Steak Burrito,Roasted Chili Corn (Medium),1
180,Steak Burrito,Roasted Chili Corn Salsa,53
181,Steak Burrito,Roasted Chili Corn Salsa (Medium),48
182,Steak Burrito,Tomatillo Green Chili Salsa,34
183,Steak Burrito,Tomatillo Red Chili (Hot),2
184,Steak Burrito,Tomatillo Red Chili Salsa,36
185,Steak Burrito,TomatilloGreen Chili Salsa (Medium),13
186,Steak Burrito,TomatilloRed Chili Salsa (Hot),21
187,Steak Crispy Tacos,Fresh Tomato (Mild),1
188,Steak Crispy Tacos,Fresh Tomato Salsa,11
189,Steak Crispy Tacos,Fresh Tomato Salsa (Mild),2
190,Steak Crispy Tacos,Roasted Chili Corn Salsa,7
191,Steak Crispy Tacos,Roasted Chili Corn Salsa (Medium),2
192,Steak Crispy Tacos,Tomatillo Green Chili Salsa,3
193,Steak Crispy Tacos,Tomatillo Red Chili Salsa,4
194,Steak Crispy Tacos,TomatilloGreen Chili Salsa (Medium),1
195,Steak Crispy Tacos,TomatilloRed Chili Salsa (Hot),4
196,Steak Salad,Fresh Tomato Salsa (Mild),1
197,Steak Salad,Lettuce,1
198,Steak Salad,TomatilloRed Chili Salsa (Hot),2
199,Steak Salad Bowl,Fresh Tomato Salsa,17
200,Steak Salad Bowl,Roasted Chili Corn Salsa,9
201,Steak Salad Bowl,Tomatillo Red Chili Salsa,3
202,Steak Soft Tacos,Fresh Tomato Salsa,24
203,Steak Soft Tacos,Fresh Tomato Salsa (Mild),5
204,Steak Soft Tacos,Roasted Chili Corn Salsa,5
205,Steak Soft Tacos,Roasted Chili Corn Salsa (Medium),3
206,Steak Soft Tacos,Tomatillo Green Chili Salsa,6
207,Steak Soft Tacos,Tomatillo Red Chili Salsa,3
208,Steak Soft Tacos,TomatilloGreen Chili Salsa (Medium),4
209,Steak Soft Tacos,TomatilloRed Chili Salsa (Hot),5
210,Veggie Bowl,Fresh Tomato Salsa,30
211,Veggie Bowl,Fresh Tomato Salsa (Mild),14
212,Veggie Bowl,Roasted Chili Corn Salsa,23
213,Veggie Bowl,Roasted Chili Corn Salsa (Medium),1
214,Veggie Bowl,Tomatillo Green Chili Salsa,3
215,Veggie Bowl,Tomatillo Red Chili Salsa,9
216,Veggie Bowl,TomatilloGreen Chili Salsa (Medium),3
217,Veggie Bowl,TomatilloRed Chili Salsa (Hot),2
218,Veggie Burrito,Fresh Tomato Salsa,29
219,Veggie Burrito,Fresh Tomato Salsa (Mild),34
220,Veggie Burrito,Roasted Chili Corn Salsa,7
221,Veggie Burrito,Roasted Chili Corn Salsa (Medium),4
222,Veggie Burrito,Tomatillo Green Chili Salsa,6
223,Veggie Burrito,Tomatillo Red Chili Salsa,9
224,Veggie Burrito,TomatilloGreen Chili Salsa (Medium),6
225,Veggie Crispy Tacos,Fresh Tomato Salsa (Mild),1
226,Veggie Salad,Fresh Tomato Salsa (Mild),3
227,Veggie Salad,Roasted Chili Corn Salsa (Medium),1
228,Veggie Salad,TomatilloGreen Chili Salsa (Medium),2
229,Veggie Salad Bowl,Fresh Tomato Salsa,12
230,Veggie Salad Bowl,Roasted Chili Corn Salsa,2
231,Veggie Salad Bowl,Tomatillo Green Chili Salsa,1
232,Veggie Salad Bowl,Tomatillo Red Chili Salsa,3
233,Veggie Soft Tacos,Fresh Tomato Salsa,2
234,Veggie Soft Tacos,Fresh Tomato Salsa (Mild),2
235,Veggie Soft Tacos,Roasted Chili Corn Salsa,1
236,Veggie Soft Tacos,Roasted Chili Corn Salsa (Medium),1
237,Veggie Soft Tacos,Tomatillo Red Chili Salsa,1
